,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
0, Houston, Amer, 31, 29, 120.7, 91.7, .9597, 53.8, 42.7, 15.3, 22.4, 37.8, 27.9, 27.6, 34.9, 54.4, 43.2, 35.2, 28, 63.1, 8
1, Alabama, SEC, 31, 26, 116.9, 90.9, .9474, 52.8, 42.1, 19.1, 16, 33.2, 27.3, 38.2, 33.5, 54.6, 41.9, 33.9, 28.4, 73.2, 8.9
2, Tennessee, SEC, 32, 23, 112.9, 88.2, .9442, 50.2, 41.7, 18.1, 22.4, 37, 27.2, 31.1, 35.3, 51, 44, 32.7, 25.8, 65.5, 3.6
3, UCLA, P12, 32, 28, 114.5, 89.7, .9436, 51.2, 47.3, 15.6, 24.1, 34.5, 27.4, 27.2, 27.1, 50.8, 47.3, 34.8, 31.6, 66.4, 8.2
4, Connecticut, BE, 32, 25, 119.8, 94.2, .9409, 53.6, 45.2, 19, 19.5, 39, 26.2, 31.6, 39, 53.4, 45.6, 35.9, 29.5, 67.2, 5.3
5, Purdue, B10, 31, 26, 119.2, 94.2, .9371, 52.3, 47.1, 17.3, 15.5, 38.5, 23.3, 36.8, 18.6, 54.3, 47.4, 32.7, 31, 64, 7.5
6, Gonzaga, WCC, 32, 28, 125.4, 100.2, .9296, 58.5, 51.7, 14.6, 18.8, 31.1, 26, 34.2, 26.7, 59, 51.2, 38.4, 35, 69.9, 7
7, Saint Mary's, WCC, 32, 26, 113.5, 91.0, .9268, 52.5, 46.7, 16.4, 19, 33.1, 21.8, 31.2, 30.3, 51, 45.6, 36.7, 32.8, 62.1, 3.9
8, Arizona, P12, 31, 25, 120.8, 97.4, .9220, 56.5, 47.3, 18.4, 17, 31.3, 26.3, 36.6, 25.9, 56.4, 46.2, 37.8, 32.8, 72.7, 5.9
9, San Diego St., MWC, 30, 25, 114.3, 92.3, .9211, 50.9, 48, 17.9, 19.7, 31.9, 25.4, 34, 30, 50, 50.3, 35.1, 29.7, 66.1, 5.5
10, Texas, B12, 31, 23, 116.8, 94.8, .9167, 53.3, 48.7, 16.5, 22.7, 28.4, 29.3, 31.6, 35.2, 54.1, 48, 34.5, 33.3, 69.1, 6.2
11, Kansas, B12, 32, 26, 114.2, 92.9, .9148, 52.5, 47, 17.1, 20, 28.6, 27.8, 29.7, 31.9, 52.7, 47, 34.8, 31.2, 69.1, 10
12, Creighton, BE, 31, 20, 115.1, 94.0, .9112, 54.4, 46.9, 16.7, 14.4, 26, 23, 28, 19.9, 55, 45.6, 35.8, 33.5, 67.7, 1.7
13, Baylor, B12, 32, 22, 123.1, 101.1, .9058, 53.1, 51.4, 18.1, 19.9, 34.7, 31.1, 37.2, 31.4, 50.8, 53.3, 37.2, 32.2, 66.9, 5.6
14, Texas A&M, SEC, 31, 23, 115.1, 95.4, .8970, 49.2, 47.4, 18.2, 21.2, 36.3, 30.2, 46.3, 35.4, 49.5, 46.7, 32.5, 32.2, 66.2, 3.1
15, Marquette, BE, 32, 26, 119.3, 98.9, .8963, 56.4, 51.5, 15.5, 23.1, 26.7, 31.7, 27.1, 29.5, 59.2, 50.3, 35, 35.8, 69.1, 6.1
16, Iowa St., B12, 31, 19, 110.4, 91.8, .8925, 50.9, 49.8, 19.4, 25.1, 33.7, 26.5, 27.9, 39.5, 51.1, 49, 33.8, 33.9, 64.1, 2.9
17, Xavier, BE, 31, 23, 120.4, 100.2, .8919, 56.3, 50.4, 17.7, 16.6, 31.2, 25.7, 31.4, 27.7, 54.7, 48.4, 39.8, 36.1, 70.9, 4.5
18, West Virginia, B12, 33, 19, 117.6, 98.0, .8906, 51.7, 50.7, 18.5, 20.9, 33.7, 29.3, 39.7, 38.5, 51.3, 50.5, 34.8, 34.1, 68.7, 1.8
19, Arkansas, SEC, 31, 19, 112.2, 93.7, .8876, 52, 46.4, 18.1, 20.5, 30.2, 27.8, 38.7, 38.4, 53.6, 46.5, 32.1, 30.9, 69.8, 0.6
20, Kansas St., B12, 31, 23, 112.0, 93.7, .8854, 51.6, 47.4, 19.8, 20.9, 31, 29.1, 37.3, 36.9, 51.4, 49.2, 34.5, 29.5, 70, 5.1
21, Auburn, SEC, 31, 20, 113.1, 94.8, .8835, 49.5, 45.2, 18.2, 19.1, 33.6, 31.6, 35, 38.9, 50.8, 46.3, 31.4, 28.8, 67.7, 1.8
22, Duke, ACC, 32, 24, 112.7, 95.1, .8755, 50.9, 46.3, 18.3, 16.8, 36.7, 26.2, 29.9, 23.8, 51.4, 46.5, 33.3, 30.5, 65.2, 3.2
23, Memphis, Amer, 31, 23, 114.6, 96.8, .8747, 53, 47.7, 18.7, 21.1, 31.3, 31.7, 36, 35, 53.5, 48.2, 34.4, 31.4, 71.5, 3.6
24, TCU, B12, 31, 20, 112.4, 95.3, .8699, 50.5, 48, 17.2, 22, 32.5, 30.6, 34.3, 29.6, 53, 48.7, 29.6, 31.1, 70, 2.3
25, Kentucky, SEC, 31, 21, 117.4, 99.6, .8690, 51.3, 48.5, 17.2, 16.7, 38.3, 25.6, 32.5, 29.7, 50.3, 48, 35.9, 32.8, 65.9, 2.5
26, Utah St., MWC, 30, 24, 118.4, 100.5, .8686, 56.3, 48.5, 17.4, 16, 27.4, 24.6, 35.3, 29.2, 54.5, 46.1, 39.2, 35.4, 68.6, 3.1
27, Michigan St., B10, 30, 19, 113.8, 96.8, .8654, 51.9, 47.9, 16.5, 14.9, 27.3, 25.3, 25.6, 28.9, 47.8, 48.9, 40.1, 30.9, 65, 2.8
28, Maryland, B10, 31, 20, 113.7, 97.0, .8610, 51.5, 47.6, 16.4, 18.3, 29.7, 27.2, 34, 27.3, 53, 47.5, 32.7, 31.8, 64.9, 1
29, Oklahoma St., B12, 32, 18, 109.2, 93.6, .8553, 49.9, 45.9, 20.5, 19.1, 31.8, 28.7, 32.5, 31.2, 51.4, 44.8, 31.6, 31.8, 67.6, 0.7
30, Boise St., MWC, 30, 23, 110.2, 94.6, .8531, 51.8, 46.9, 16.9, 17.6, 26.9, 23.8, 30.2, 27.3, 50.8, 47.8, 35.7, 30.3, 66.6, 2.8
31, Indiana, B10, 31, 21, 114.0, 97.9, .8520, 53.9, 47.5, 17.3, 16.6, 28.2, 27.6, 30.3, 30.4, 53, 46.3, 37.6, 33, 68.1, 3.2
32, Northwestern, B10, 31, 21, 109.5, 94.5, .8451, 47.6, 48.4, 15.1, 21.7, 28.3, 27.4, 29.6, 30.8, 47, 46.6, 32.3, 33.9, 65, 1.9
33, Virginia, ACC, 29, 23, 110.7, 95.6, .8436, 51.5, 48.7, 13.7, 19.8, 25.8, 24.9, 34.5, 25, 50.2, 46.8, 35.9, 34.4, 61.5, 3.4
34, USC, P12, 31, 22, 113.1, 98.0, .8388, 51.4, 45.1, 18.1, 18.2, 29, 32.9, 33.5, 29.2, 51.3, 42.6, 34.4, 32.9, 68.1, 2.6
35, Florida Atlantic, CUSA, 29, 28, 113.7, 98.6, .8369, 55.2, 47, 16.3, 18.6, 30.4, 24.3, 29.3, 27.3, 53.8, 45.2, 38, 33.6, 68.3, 3.5
36, Miami FL, ACC, 31, 25, 118.1, 102.4, .8367, 55, 51, 16.6, 18.1, 32.3, 28.9, 30.2, 23.4, 54.7, 51.7, 37, 33.2, 68.7, 3.8
37, Rutgers, B10, 32, 19, 104.5, 90.7, .8355, 47.7, 45.7, 17.3, 21.8, 31.8, 27.2, 28.8, 27.4, 47.7, 45.9, 31.8, 30.4, 66, -1
38, North Carolina, ACC, 32, 20, 111.6, 97.0, .8340, 49.4, 48.6, 15.1, 15, 30.5, 23.5, 37.1, 25.8, 50.9, 48.1, 31.2, 33.1, 69, -0.4
39, Iowa, B10, 32, 19, 120.9, 105.2, .8313, 51.9, 53.3, 14.1, 18.5, 32.2, 27.6, 32.6, 23.4, 52.1, 52.6, 34.3, 36.6, 69.6, 0.1
40, North Carolina St., ACC, 32, 23, 115.3, 100.5, .8296, 52.2, 49.5, 13.5, 19.1, 31.1, 26.6, 25.6, 34.2, 51.8, 50.5, 35.2, 31.6, 69.4, 1.4
41, Cincinnati, Amer, 30, 20, 113.4, 98.8, .8293, 52.2, 47.8, 15.3, 16.9, 30.5, 27.4, 25.4, 29.9, 51.2, 47.7, 35.8, 32.1, 68.4, -1.5
42, Liberty, ASun, 31, 26, 112.0, 97.8, .8264, 55.8, 49.5, 16, 19.4, 25.8, 20.1, 25.8, 27.8, 56.7, 47.6, 36.5, 35.1, 64.2, -1.7
43, Drake, MVC, 33, 27, 111.1, 97.1, .8251, 53.1, 47.3, 15.5, 17.7, 24.3, 22.4, 28.8, 26.7, 51.9, 47.5, 36.7, 31.2, 66.4, -0
44, Illinois, B10, 31, 20, 110.0, 96.3, .8215, 51.6, 46.5, 18.5, 18.8, 32.3, 26.6, 34, 29.3, 55.4, 44.9, 31, 33.4, 69.6, 1
45, Oregon, P12, 31, 18, 114.6, 100.4, .8207, 51.7, 48.1, 18.5, 16.7, 32.9, 26.5, 31.4, 24.5, 53.8, 46.2, 32.4, 34.2, 66, -0.6
46, Washington St., P12, 32, 17, 111.8, 98.1, .8188, 50.3, 49.5, 18.6, 16.6, 32.2, 25.7, 28.2, 28.4, 46.8, 50.3, 36.6, 32, 64.1, -2.5
47, Michigan, B10, 32, 17, 112.2, 98.5, .8178, 51.2, 47.8, 14.8, 14.8, 25.4, 26.1, 30.8, 26.2, 50.8, 47.8, 34.6, 31.9, 67.5, -2.1
48, New Mexico, MWC, 31, 22, 116.7, 102.4, .8176, 53.3, 50.2, 15.6, 17.6, 28.3, 27.1, 39.6, 28.5, 52.8, 50.9, 36.3, 32.7, 71.4, 0.2
49, North Texas, CUSA, 29, 25, 109.2, 96.0, .8149, 51, 45.7, 19.7, 20.5, 33.5, 27.6, 31.8, 39.7, 49.3, 45.2, 35.7, 31, 58.1, 1.2
50, Penn St., B10, 31, 19, 117.3, 103.1, .8143, 56.1, 49.9, 13.4, 13.8, 18, 24.7, 18.8, 25.7, 53.9, 48.7, 38.9, 34.6, 64.4, -0
51, Mississippi St., SEC, 32, 21, 104.9, 92.3, .8131, 47.4, 46, 19.3, 22.3, 35.3, 28.9, 34.8, 28.1, 51, 46.2, 27, 30.5, 63.8, 0.8
52, Oklahoma, B12, 32, 15, 110.3, 97.0, .8129, 52.4, 48, 20, 15.5, 23.7, 27.2, 30.1, 30.1, 52.2, 48.5, 35.1, 31.2, 65.1, -1.3
53, Clemson, ACC, 31, 22, 111.4, 98.4, .8069, 54.5, 47.4, 16.1, 16.7, 23.2, 24.5, 30.8, 31.5, 54, 45.6, 36.9, 33.4, 68.1, -0.5
54, Texas Tech, B12, 32, 16, 111.4, 98.4, .8060, 52.3, 48.9, 19.9, 19.9, 32.1, 30.1, 34.8, 28.4, 52.6, 49.1, 34.5, 32.4, 67.3, -2.2
55, UAB, CUSA, 30, 23, 112.9, 99.8, .8042, 51.1, 47.6, 17.7, 19.3, 36.9, 29.1, 36.5, 30.9, 49.2, 46.8, 36.9, 32.7, 70.8, -1.1
56, Providence, BE, 32, 21, 116.2, 102.7, .8040, 51.5, 50, 16.9, 16.9, 35.2, 26.7, 36.8, 25.5, 50.9, 49.6, 35.1, 33.9, 67, 1
57, Ohio St., B10, 33, 15, 115.3, 102.0, .8035, 52, 48.9, 16.4, 16.1, 32.1, 28.4, 26.6, 27.6, 51, 49.4, 36.1, 32.1, 66.2, -3.5
58, Nevada, MWC, 31, 22, 110.5, 97.9, .8011, 50.5, 49, 15.2, 18.7, 22.9, 25.1, 39.5, 31.4, 50.3, 49.3, 33.8, 32.5, 66, 1.4
59, Sam Houston St., WAC, 27, 25, 104.9, 93.3, .7946, 51, 47.6, 20.5, 23.5, 30.9, 25.5, 32.9, 39, 46.7, 46.7, 38.9, 32.4, 64.5, 1.2
60, Missouri, SEC, 31, 23, 118.9, 105.8, .7930, 55.5, 52.2, 16.3, 24.5, 27.5, 37.8, 30.3, 36, 56.4, 51.3, 36.2, 35.5, 69.5, 3.4
61, Villanova, BE, 32, 17, 112.8, 100.4, .7925, 51.9, 50.5, 15.8, 17.4, 22.9, 25.7, 31.1, 27.1, 53.3, 51, 33.7, 33.2, 63.4, -2.1
62, Seton Hall, BE, 31, 17, 106.4, 94.7, .7923, 49.4, 47.6, 20.4, 21.3, 30.8, 30.3, 40.5, 31, 49.2, 48.2, 33.2, 31, 66.5, -2.4
63, Dayton, A10, 32, 21, 109.5, 97.5, .7919, 53.2, 44.5, 19.1, 16.4, 30.2, 26.7, 35.5, 23.6, 53.9, 45.4, 34.7, 28.7, 62.9, -3.7
64, UCF, Amer, 31, 18, 109.4, 97.6, .7883, 50.6, 48, 19.3, 21.9, 33.6, 31.3, 29.9, 33.4, 48.1, 49, 36.1, 30.9, 64.3, -3.1
65, VCU, A10, 32, 25, 105.3, 94.0, .7854, 51.8, 47, 19.9, 24.5, 28.7, 29.6, 42.1, 30.3, 52.2, 46.1, 33.9, 32.5, 68.2, 0.4
66, Iona, MAAC, 32, 25, 110.4, 98.7, .7843, 51.8, 46.1, 15.1, 20.7, 31.6, 30.3, 28.4, 31.5, 50.9, 47.2, 35.9, 29.3, 68.9, -1.5
67, Colorado, P12, 33, 17, 106.1, 94.8, .7842, 49, 47.7, 19.2, 19.6, 31.3, 25.3, 30.3, 32.2, 49.6, 47.7, 31.9, 31.8, 69.2, -3.3
68, Utah, P12, 32, 17, 107.6, 96.2, .7835, 48.9, 45, 18, 15.2, 31.3, 27.4, 29.2, 24.4, 48.4, 44.9, 33.3, 30.2, 66.1, -3.3
69, Oral Roberts, Sum, 30, 30, 113.9, 101.9, .7822, 56.1, 48.5, 13.2, 17.6, 24.5, 27.4, 24.6, 22, 56.6, 46.6, 37, 34.2, 70.5, 2
70, College of Charleston, CAA, 33, 31, 110.7, 99.2, .7797, 51.5, 47.9, 16.7, 19.3, 35.1, 25.5, 32.7, 24.7, 52.9, 49.1, 33.3, 30.3, 71.1, 1.8
71, Arizona St., P12, 32, 21, 106.5, 95.8, .7728, 47.8, 45.7, 17.1, 20.6, 29.6, 31.8, 30.5, 33.3, 48.5, 43.3, 31.1, 33, 68.5, 1.1
